typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate,year
C,A,20200101,2020,52,2020,662,LCA,Saint Lucia,X,Export,826,GBR,United Kingdom,0,W00,World,H4,HS,True,70960,"Vegetables; fruits of the genus capsicum or of the genus pimenta, fresh or chilled",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,647.0,False,8,kg,647.0,False,647.0,False,0,False,0.0,1028.17,1028.17,0,True,False,2020
C,A,20200101,2020,52,2020,686,SEN,Senegal,X,Export,826,GBR,United Kingdom,0,W00,World,H5,HS,True,70960,"Vegetables; fruits of the genus capsicum or of the genus pimenta, fresh or chilled",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,800706.0,False,8,kg,800706.0,False,800706.0,False,0,False,0.0,1957887.293,1957887.293,0,True,False,2020
C,A,20200101,2020,52,2020,699,IND,India,X,Export,826,GBR,United Kingdom,0,W00,World,H5,HS,True,70960,"Vegetables; fruits of the genus capsicum or of the genus pimenta, fresh or chilled",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1787122.0,False,8,kg,1787122.0,False,1787122.0,False,0,False,0.0,2786441.08,2786441.08,0,True,False,2020
C,A,20200101,2020,52,2020,703,SVK,Slovakia,X,Export,826,GBR,United Kingdom,0,W00,World,H5,HS,True,70960,"Vegetables; fruits of the genus capsicum or of the genus pimenta, fresh or chilled",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,8807.0,False,8,kg,8807.0,False,8807.0,False,0,False,,38150.489,38150.489,0,False,True,2020
C,A,20200101,2020,52,2020,704,VNM,Viet Nam,X,Export,826,GBR,United Kingdom,0,W00,World,H5,HS,True,70960,"Vegetables; fruits of the genus capsicum or of the genus pimenta, fresh or chilled",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1778.53,True,-1,N/A,0.0,False,1778.53,True,0,False,0.0,3650.0,3650.0,6,True,False,2020
C,A,20200101,2020,52,2020,705,SVN,Slovenia,X,Export,826,GBR,United Kingdom,0,W00,World,H5,HS,True,70960,"Vegetables; fruits of the genus capsicum or of the genus pimenta, fresh or chilled",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,79132.0,False,8,kg,79132.0,False,79132.0,False,0,False,0.0,336295.48,336295.48,0,False,True,2020
C,A,20200101,2020,52,2020,710,ZAF,South Africa,X,Export,826,GBR,United Kingdom,0,W00,World,H5,HS,True,70960,"Vegetables; fruits of the genus capsicum or of the genus pimenta, fresh or chilled",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,19861.6,False,8,kg,19861.6,False,19861.6,False,0,False,0.0,104896.23,104896.23,0,False,True,2020
C,A,20200101,2020,52,2020,724,ESP,Spain,X,Export,826,GBR,United Kingdom,0,W00,World,H5,HS,True,70960,"Vegetables; fruits of the genus capsicum or of the genus pimenta, fresh or chilled",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,105031577.0,False,8,kg,105031577.0,False,105031577.0,False,0,False,0.0,163621323.355,163621323.355,0,False,True,2020
C,A,20200101,2020,52,2020,764,THA,Thailand,X,Export,826,GBR,United Kingdom,0,W00,World,H5,HS,True,70960,"Vegetables; fruits of the genus capsicum or of the genus pimenta, fresh or chilled",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,143812.0,False,8,kg,143812.0,False,143812.0,False,0,False,,136278.694,136278.694,0,False,True,2020
C,A,20200101,2020,52,2020,780,TTO,Trinidad and Tobago,X,Export,826,GBR,United Kingdom,0,W00,World,H4,HS,True,70960,"Vegetables; fruits of the genus capsicum or of the genus pimenta, fresh or chilled",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,8.0,False,8,kg,8.0,False,8.0,False,0,False,0.0,48.141,48.141,0,False,True,2020
C,A,20200101,2020,52,2020,792,TUR,Türkiye,X,Export,826,GBR,United Kingdom,0,W00,World,H5,HS,True,70960,"Vegetables; fruits of the genus capsicum or of the genus pimenta, fresh or chilled",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,4839118.0,False,8,kg,4839118.0,False,4839118.0,False,0,False,0.0,7388198.0,7388198.0,0,False,True,2020
C,A,20200101,2020,52,2020,804,UKR,Ukraine,X,Export,826,GBR,United Kingdom,0,W00,World,H5,HS,True,70960,"Vegetables; fruits of the genus capsicum or of the genus pimenta, fresh or chilled",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,161.48,False,8,kg,161.48,False,161.48,False,0,False,0.0,602.61,602.61,0,False,True,2020
C,A,20200101,2020,52,2020,818,EGY,Egypt,X,Export,826,GBR,United Kingdom,0,W00,World,H4,HS,True,70960,"Vegetables; fruits of the genus capsicum or of the genus pimenta, fresh or chilled",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,284962.554,True,-1,N/A,0.0,False,284962.554,True,0,False,,532229.164,532229.164,6,True,False,2020
C,A,20200101,2020,52,2020,842,USA,USA,X,Export,826,GBR,United Kingdom,0,W00,World,H5,HS,True,70960,"Vegetables; fruits of the genus capsicum or of the genus pimenta, fresh or chilled",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,11152.662,True,-1,N/A,0.0,False,11152.662,True,0,False,0.0,28943.0,28943.0,6,True,False,2020
C,A,20200101,2020,52,2020,858,URY,Uruguay,X,Export,826,GBR,United Kingdom,0,W00,World,H5,HS,True,70960,"Vegetables; fruits of the genus capsicum or of the genus pimenta, fresh or chilled",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,3165.0,False,8,kg,3165.0,False,3165.0,False,0,False,,10449.0,10449.0,0,False,True,2020
C,A,20210101,2021,52,2021,56,BEL,Belgium,X,Export,826,GBR,United Kingdom,0,W00,World,H5,HS,True,70960,"Vegetables; fruits of the genus capsicum or of the genus pimenta, fresh or chilled",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,4566253.0,False,8,kg,4566253.0,False,4566253.0,False,0,False,,7551419.1,7551419.1,0,True,False,2021
C,A,20210101,2021,52,2021,76,BRA,Brazil,X,Export,826,GBR,United Kingdom,0,W00,World,H5,HS,True,70960,"Vegetables; fruits of the genus capsicum or of the genus pimenta, fresh or chilled",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,3756.0,False,8,kg,3756.0,False,3718.0,False,0,False,,9191.0,9191.0,0,False,True,2021
C,A,20210101,2021,52,2021,156,CHN,China,X,Export,826,GBR,United Kingdom,0,W00,World,H5,HS,True,70960,"Vegetables; fruits of the genus capsicum or of the genus pimenta, fresh or chilled",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,25.0,False,8,kg,25.0,False,25.0,False,0,False,,96.0,96.0,0,True,False,2021
C,A,20210101,2021,52,2021,192,CUB,Cuba,X,Export,826,GBR,United Kingdom,0,W00,World,H5,HS,True,70960,"Vegetables; fruits of the genus capsicum or of the genus pimenta, fresh or chilled",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1046.0,False,8,kg,1046.0,False,1046.0,False,0,False,,2397.72,2397.72,0,True,False,2021
C,A,20210101,2021,52,2021,208,DNK,Denmark,X,Export,826,GBR,United Kingdom,0,W00,World,H5,HS,True,70960,"Vegetables; fruits of the genus capsicum or of the genus pimenta, fresh or chilled",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,793.0,False,8,kg,793.0,False,793.0,False,0,False,,3226.123,3226.123,0,True,False,2021
C,A,20210101,2021,52,2021,214,DOM,Dominican Rep.,X,Export,826,GBR,United Kingdom,0,W00,World,H5,HS,True,70960,"Vegetables; fruits of the genus capsicum or of the genus pimenta, fresh or chilled",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,38372.68,False,8,kg,38372.68,False,40082.68,False,0,False,,89526.013,89526.013,0,False,True,2021
C,A,20210101,2021,52,2021,251,FRA,France,X,Export,826,GBR,United Kingdom,0,W00,World,H5,HS,True,70960,"Vegetables; fruits of the genus capsicum or of the genus pimenta, fresh or chilled",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,4804534.69,True,-1,N/A,0.0,False,4804534.69,True,0,False,,8846049.756,8846049.756,6,False,True,2021
C,A,20210101,2021,52,2021,276,DEU,Germany,X,Export,826,GBR,United Kingdom,0,W00,World,H5,HS,True,70960,"Vegetables; fruits of the genus capsicum or of the genus pimenta, fresh or chilled",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,4559.0,False,8,kg,4559.0,False,4559.0,False,0,False,0.0,6882.409,6882.409,0,False,True,2021
C,A,20210101,2021,52,2021,288,GHA,Ghana,X,Export,826,GBR,United Kingdom,0,W00,World,H5,HS,True,70960,"Vegetables; fruits of the genus capsicum or of the genus pimenta, fresh or chilled",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,20.0,False,8,kg,20.0,False,174.625,False,0,False,,39.511,39.511,0,False,True,2021
C,A,20210101,2021,52,2021,300,GRC,Greece,X,Export,826,GBR,United Kingdom,0,W00,World,H5,HS,True,70960,"Vegetables; fruits of the genus capsicum or of the genus pimenta, fresh or chilled",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,161392.0,False,8,kg,161392.0,False,161392.0,False,0,False,0.0,491892.233,491892.233,0,False,True,2021
C,A,20210101,2021,52,2021,348,HUN,Hungary,X,Export,826,GBR,United Kingdom,0,W00,World,H5,HS,True,70960,"Vegetables; fruits of the genus capsicum or of the genus pimenta, fresh or chilled",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,59355.0,False,8,kg,59355.0,False,59355.0,False,0,False,0.0,144737.0,144737.0,0,False,True,2021
C,A,20210101,2021,52,2021,372,IRL,Ireland,X,Export,826,GBR,United Kingdom,0,W00,World,H5,HS,True,70960,"Vegetables; fruits of the genus capsicum or of the genus pimenta, fresh or chilled",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,548909.0,False,8,kg,548909.0,False,548909.0,False,0,False,,1605454.062,1605454.062,0,True,False,2021
C,A,20210101,2021,52,2021,376,ISR,Israel,X,Export,826,GBR,United Kingdom,0,W00,World,H5,HS,True,70960,"Vegetables; fruits of the genus capsicum or of the genus pimenta, fresh or chilled",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,2129283.399,True,-1,N/A,0.0,False,2129283.399,True,0,False,0.0,4053000.0,4053000.0,6,True,False,2021
C,A,20210101,2021,52,2021,380,ITA,Italy,X,Export,826,GBR,United Kingdom,0,W00,World,H5,HS,True,70960,"Vegetables; fruits of the genus capsicum or of the genus pimenta, fresh or chilled",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,243579.0,False,8,kg,243579.0,False,243579.0,False,0,False,,519270.306,519270.306,0,True,False,2021
C,A,20210101,2021,52,2021,388,JAM,Jamaica,X,Export,826,GBR,United Kingdom,0,W00,World,H5,HS,True,70960,"Vegetables; fruits of the genus capsicum or of the genus pimenta, fresh or chilled",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,7377.85,False,8,kg,7377.85,False,7377.85,False,0,False,,24512.12,24512.12,0,True,False,2021
C,A,20210101,2021,52,2021,404,KEN,Kenya,X,Export,826,GBR,United Kingdom,0,W00,World,H5,HS,True,70960,"Vegetables; fruits of the genus capsicum or of the genus pimenta, fresh or chilled",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,228559.5,False,8,kg,228559.5,False,228559.5,False,0,False,0.0,602575.647,602575.647,0,True,False,2021
C,A,20210101,2021,52,2021,410,KOR,Rep. of Korea,X,Export,826,GBR,United Kingdom,0,W00,World,H5,HS,True,70960,"Vegetables; fruits of the genus capsicum or of the genus pimenta, fresh or chilled",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,60.0,False,8,kg,60.0,False,60.0,False,0,False,,544.0,544.0,0,True,False,2021
C,A,20210101,2021,52,2021,480,MUS,Mauritius,X,Export,826,GBR,United Kingdom,0,W00,World,H5,HS,True,70960,"Vegetables; fruits of the genus capsicum or of the genus pimenta, fresh or chilled",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,146.0,False,8,kg,146.0,False,146.0,False,0,False,0.0,865.247,865.247,0,False,True,2021
C,A,20210101,2021,52,2021,484,MEX,Mexico,X,Export,826,GBR,United Kingdom,0,W00,World,H5,HS,True,70960,"Vegetables; fruits of the genus capsicum or of the genus pimenta, fresh or chilled",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,133278.0,False,8,kg,133278.0,False,133278.0,False,0,False,,163460.0,163460.0,0,False,True,2021
